Time,X
"6-30",0.047304
"6-30",0.075182
"6-30",0.127361
"6-30",0.099195
"6-30",0.030448
"6-30",0.040833
"6-30",0.01598
"6-30",-0.018586
"6-30",-0.04991
"6-30",-0.055535
"6-30",-0.006117
"6-30",0.023718
"6-30",0.029325
"6-30",0.020128
"6-30",-0.018051
"6-30",-0.008014
"6-30",-0.039818
"6-30",-0.036667
"6-30",-0.01888
"6-30",0.065866
"6-30",0.080093
"6-30",0.057257
"6-30",0.051981
"6-30",0.048673
"6-30",0.033659
"6-30",0.030562
"6-30",0.044903
"6-30",0.058248
"6-30",0.044909
"6-30",0.048217
"6-30",0.047514
"6-30",0.051897
"6-30",0.048475
"6-30",0.066922
"6-30",0.050978
"6-30",0.026786
"6-30",0.029349
"6-30",0.053187
"6-30",0.054334
"6-30",0.041859
"6-30",0.042088
"6-30",0.046014
"6-30",0.034464
"6-30",0.019666
"6-30",0.050072
"6-30",0.040719
"6-30",0.054112
"6-30",0.013219
"6-30",0.022133
"6-30",0.02056
"6-30",0.001104
"6-30",0.024126
"6-30",0.031336
"6-30",0.041991
"6-30",0.050558
"6-30",0.067432
"6-30",0.051927
"6-30",-0.003722
"6-30",-0.017181
"6-30",0.005445
"6-30",0.002863
"6-30",-0.025219
"6-30",-0.040179
"6-30",-0.018982
"6-30",-0.003164
"6-30",-0.029907
"6-30",-0.02355
"6-30",-0.056651
"6-30",-0.041751
"6-30",-0.012739
"6-30",0.012528
"6-30",0.030045
"6-30",0.040659
"6-30",0.022301
"6-30",-0.009851
"6-30",-0.037213
"6-30",-0.009317
